date,state,city_or_county,address,n_killed,n_injured,congressional_district,gun_stolen,latitude,longitude,n_guns_involved,participant_age_group,participant_gender,participant_relationship,participant_type,state_house_district,state_senate_district
2013-04-28,North Carolina,Charlotte,William Reynolds Drive,0,5,12,NA,35.2479,-80.726,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim,99,40
2013-04-28,Pennsylvania,Chester,Rose and Upland Street,1,3,1,0::Unknown||1::Unknown,39.8564,-75.3587,2,0::Teen 12-17||1::Teen 12-17||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+,0::Male||1::Male||3::Male||4::Male||5::Male||6::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect||6::Subject-Suspect,NA,NA
2013-04-28,Tennessee,Jackson,438 East Main Street,2,2,8,0::Unknown||1::Unknown,35.6141,-88.815,2,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||5::Adult 18+||6::Adult 18+,0::Male||1::Male||2::Male||3::Male||5::Male||6::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect||6::Subject-Suspect,80,27
2013-05-02,Maryland,Baltimore,600 block of Cokesbury Ave,1,0,7,0::Unknown,39.3167,-76.6085,1,0::Adult 18+||1::Adult 18+,0::Male||1::Male,NA,0::Victim||1::Subject-Suspect,43,43
2013-05-02,New Jersey,Newark,804 S. 16th St,0,5,10,NA,40.7268,-74.2116,NA,0::Child 0-11||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Female||1::Female||2::Male||3::Female||4::Male||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect,28,28
2013-05-04,North Carolina,Smithfield,150 South Equity Drive,0,4,7,0::Unknown,35.5076,-78.3221,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Female||2::Male||3::Female,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,28,11
2013-05-05,California,Palo Alto,Bay Road and University Avenue,0,5,14,NA,37.4717,-122.14,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim,24,13
2013-05-06,Pennsylvania,Johnstown,Horner and Messenger streets,0,4,12,NA,40.3091,-78.9124,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim,NA,NA
2013-05-10,California,Los Angeles,1600 block of West 205th Street,3,1,43,NA,33.8447,-118.307,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect,64,35
2013-05-11,Indiana,Columbus,E Main Cross St,5,0,6,0::Unknown,39.1149,-85.8929,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Female||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,59,44
2013-05-11,Pennsylvania,Philadelphia,21st Street and Medary Avenue,0,4,2,NA,40.0505,-75.1554,NA,0::Teen 12-17||1::Teen 12-17||2::Teen 12-17||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,NA,NA
2013-05-11,New Jersey,Jersey City,Fremont Street,0,4,10,0::Unknown,40.7207,-74.0593,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim,31,31
2013-05-12,Arizona,Apache Junction,3600 block of East Apache Trail,0,5,4,NA,33.4473,-111.503,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,16,16
2013-05-12,Louisiana,New Orleans,Frenchmen Street,0,19,2,0::Unknown,29.9861,-90.0595,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+||7::Adult 18+||8::Adult 18+||9::Adult 18+||10::Adult 18+||11::Teen 12-17||12::Adult 18+||13::Adult 18+||14::Adult 18+||15::Adult 18+||16::Adult 18+||17::Child 0-11||18::Child 0-11||19::Adult 18+||20::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male||5::Male||6::Male||7::Male||8::Male||9::Male||10::Female||11::Female||12::Female||13::Female||14::Female||15::Female||16::Female||17::Male||18::Female||19::Male||20::Male||21::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Victim||7::Victim||8::Victim||9::Victim||10::Victim||11::Victim||12::Victim||13::Victim||14::Victim||15::Victim||16::Victim||17::Victim||18::Victim||19::Subject-Suspect||20::Subject-Suspect||21::Subject-Suspect,97,4
2013-05-13,Ohio,Cincinnati,Kings Run Road,0,4,1,0::Unknown,39.1788,-84.5124,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,33,9
2013-05-14,New Jersey,Delanco,Delaware Ave,0,2,3,0::Unknown,40.0521,-74.9578,1,1::Adult 18+,0::Male||1::Male,NA,0::Victim||1::Subject-Suspect,7,7
2013-05-15,Michigan,Detroit,9000 block of Carlin,1,4,13,NA,42.3613,-83.1787,NA,0::Adult 18+||1::Adult 18+||2::Teen 12-17||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Female||1::Male||2::Female||3::Female||4::Female||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect,11,3
2013-05-16,Pennsylvania,Philadelphia,2600 block of Daggett Street,0,4,1,0::Unknown,39.9204,-75.2296,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||1::Male||2::Female||3::Male||4::Male||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect,NA,NA
2013-05-18,New York,Jamaica,Sutphin Blvd and Rockaway Blvd,1,0,5,0::Unknown,40.673,-73.7881,1,0::Teen 12-17||1::Teen 12-17||2::Adult 18+,0::Female||1::Male||2::Male,NA,0::Victim||1::Subject-Suspect||2::Subject-Suspect,32,10
2013-05-18,Virginia,Victoria,2073 Pleasant Oak Rd,0,4,5,0::Unknown,37.0177,-78.1562,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect,75,15
2013-05-19,Tennessee,Memphis,2281 Ketchum Rd,2,2,9,NA,35.079,-89.988,NA,0::Adult 18+||1::Teen 12-17||2::Adult 18+||4::Adult 18+,2::Male||3::Female||4::Female,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,91,29
2013-05-19,Michigan,Detroit,NA,0,4,13,0::Unknown,42.3481,-83.0613,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,6,1
